Date,corr_0.05,corr_0.1,corr_0.15,corr_0.2
2000-01-03,0.0242052311342,0.0593864561981,0.0486763228964,0.0424802048184
2000-01-04,0.0371089751502,0.0589536135773,0.0486455561322,0.042619559887
2000-01-05,0.0353323852798,0.0585846686053,0.0469248500341,0.0409324331942
2000-01-06,0.0329284723571,0.0583222528492,0.0469003571575,0.0408434780066
2000-01-07,0.030659979394,0.0581103291143,0.0469434760643,0.0407545228602
2000-01-10,0.0265774119957,0.0578485135879,0.0465868802923,0.04032310235
2000-01-11,0.0261721863378,0.0576862002009,0.0454757727231,0.0389784409798
2000-01-12,0.0285747096903,0.0574687798382,0.0449566869235,0.0383187102958
2000-01-13,0.024570711736,0.0571420922676,0.0451790369314,0.0385722204307
2000-01-14,0.0210728092689,0.0563014074463,0.0434924566034,0.037570024383
2000-01-18,0.0214986474717,0.0556667032071,0.0437462296129,0.0382801549892
2000-01-19,0.0199091386808,0.0546274872722,0.0421267110422,0.037620424264
2000-01-20,0.0201840197117,0.0533991208913,0.0395880955811,0.0362757628937
2000-01-21,0.0256279825401,0.0521725403837,0.0379396225456,0.0358443423835
2000-01-24,0.0301896782832,0.0515551486182,0.0392152978947,0.0375818689573
2000-01-25,0.0278907962439,0.0506340911604,0.038197876018,0.0373787586621
2000-01-26,0.0274240990456,0.0495869147389,0.0371225422832,0.0372898034745
2000-01-27,0.026115122766,0.048638017836,0.0361788106118,0.0372008483281
2000-01-28,0.0257997913014,0.0481735026149,0.0365495078976,0.0377968237855
2000-01-31,0.0230349462326,0.0478357533303,0.0372009211354,0.0385069543504
2000-02-01,0.0404423938713,0.0347231434757,0.0370794049751,0.0383200890452
2000-02-02,0.0371163605535,0.0339509907952,0.0361881553274,0.0376621249355
2000-02-03,0.0310085300306,0.0344146227048,0.0369708800814,0.0382585501019
2000-02-04,0.0312463924727,0.0347534940091,0.0370872442852,0.0379426921995
2000-02-07,0.032584201309,0.0347561038959,0.0365310442194,0.0369426219237
2000-02-08,0.031063913467,0.0355204588084,0.0370947320176,0.0368548347576
2000-02-09,0.0332899997587,0.0366245812324,0.0377559482631,0.0365389768142
2000-02-10,0.0347937110506,0.0377351171876,0.03769981576,0.0350827650245
2000-02-11,0.0466713727224,0.0396999910412,0.0391904539859,0.0351090132472
2000-02-14,0.0456656867091,0.041293739103,0.0408500030019,0.0358194738023
2000-02-15,0.0424977557343,0.0430139621852,0.0424552181063,0.036301863621
2000-02-16,0.0440946794695,0.0435262783098,0.0425506904501,0.0357579349001
2000-02-17,0.044041928535,0.0434427643579,0.0422941285409,0.0353280415679
2000-02-18,0.0458403087073,0.0442867491028,0.0434920442087,0.0361525375527
2000-02-22,0.0464147692362,0.0464687200196,0.0463645093741,0.0381173873838
2000-02-23,0.0461193775487,0.0460001281002,0.0453284347435,0.0368892463305
2000-02-24,0.0467878488647,0.0468212105023,0.0462934696022,0.0373716361492
2000-02-25,0.0515917378574,0.0467520984485,0.0459749702034,0.0368277074283
2000-02-28,0.0506112378519,0.0469634351927,0.0460005309074,0.0365118494848
2000-02-29,0.0545726225707,0.0328354984624,0.0452693663218,0.0353977438203
2000-03-01,0.0162955332865,0.0499847460498,0.0438157786832,0.0349709944606
2000-03-02,0.0154121712767,0.0499826691312,0.0438259475365,0.0345639698382
2000-03-03,0.0143670522997,0.0505880799434,0.044670053725,0.0347181374606
2000-03-06,0.0149766097878,0.050866541022,0.0451121204779,0.0347600666724
2000-03-07,0.0206344001043,0.0512409577107,0.0456087260486,0.0345775189479
2000-03-08,0.0210027790436,0.0517877149326,0.0463026692542,0.0343949712234
2000-03-09,0.0194197336959,0.052240334035,0.0469164874194,0.0343246619862
2000-03-10,0.0187426616875,0.0524231960312,0.0471937542814,0.0341421142617
2000-03-13,0.0238591928576,0.0526890808813,0.0476767553562,0.0344085203331
2000-03-14,0.0321307342218,0.0524360532597,0.0475102437255,0.0344504495448
2000-03-15,0.0288822835986,0.0518319956916,0.0468587850847,0.0341556633714
2000-03-16,0.0184986837036,0.0515128488708,0.0466718986745,0.0344220694427
2000-03-17,0.0173926420826,0.0516732607628,0.0471171304778,0.0350251908609
2000-03-20,0.0177412491338,0.0520071948962,0.0477610530199,0.0356283123174
2000-03-21,0.0175472118201,0.0517724737455,0.0475601684621,0.0354457645929
2000-03-22,0.0174710353265,0.0515621698316,0.0473595754038,0.0351509784195
2000-03-23,0.017707047693,0.0516779508338,0.0476430335088,0.0353051460802
2000-03-24,0.0170920460845,0.0507437900689,0.0463092512712,0.0337757369683
2000-03-27,0.0174746570557,0.0506243113928,0.0461019878571,0.0330319969991
2000-03-28,0.0181803510148,0.05099407557,0.0466762680812,0.0331861646598
2000-03-29,0.0189645519145,0.051249025959,0.0470084120531,0.0328913784863
2000-03-30,0.0255689120209,0.0524429624937,0.0487200778892,0.0338312152514
2000-03-31,0.0217456455492,0.0532324726964,0.0491803326145,0.0338731444631
2000-04-03,0.0310635433183,0.0509959150112,0.0479241372023,0.033732071303
2000-04-04,0.0360471537577,0.0511111095771,0.0482430957762,0.0341143799674
2000-04-05,0.0394201850836,0.0504167025014,0.0475616152752,0.0341639557922
2000-04-06,0.0381733962544,0.0495780860068,0.0466174458567,0.0337698878675
2000-04-07,0.0270557700447,0.0498535761753,0.0471931396878,0.0344849293716
2000-04-10,0.0284849818704,0.0493346925701,0.0466639437311,0.0343126833033
2000-04-11,0.0317303517068,0.04784466606,0.0447298757421,0.032809505913
2000-04-12,0.0354525344995,0.0466132040094,0.0431650984513,0.0316390613257
