Date,realCorr_0.05,realCorr_0.1,realCorr_0.15,realCorr_0.2,realCorr_0.25
2000-01-03,0.115156755977,0.154546298836,0.150153606556,0.0764433290821,0.101868335595
2000-01-04,0.113478642696,0.153406524142,0.149135284546,0.0760622910864,0.101858451532
2000-01-05,0.113660971508,0.153823558863,0.149072343912,0.0742223583375,0.0988236323841
2000-01-06,0.114688991653,0.152878385261,0.148173444486,0.0736589584128,0.0984356313483
2000-01-07,0.115717011884,0.151933211757,0.147274545161,0.073095558585,0.098047630412
2000-01-10,0.119704864191,0.151279939938,0.146554779761,0.0722586159123,0.0970924540664
2000-01-11,0.121324833267,0.151405072875,0.1463127051,0.0706922259115,0.0946248102278
2000-01-12,0.121422610533,0.150946402343,0.145712362486,0.0696729215037,0.0932915171085
2000-01-13,0.126087007156,0.149709326958,0.144634329033,0.069383064327,0.0934706913826
2000-01-14,0.126945880284,0.149542558111,0.144213120345,0.0680902170742,0.0915702228538
2000-01-18,0.121800537543,0.147916280446,0.142896241624,0.0681650836586,0.0925056309739
2000-01-19,0.119699578509,0.147457609816,0.142295898909,0.0671457791538,0.091172337755
2000-01-20,0.121319547585,0.147582742753,0.142053824248,0.065579389153,0.0887046939164
2000-01-21,0.120909927466,0.146929470935,0.141334058848,0.0647424464802,0.0877495175708
2000-01-24,0.115680033092,0.144427487919,0.139479778047,0.0656379413087,0.0903864516204
2000-01-25,0.114763015674,0.143579614911,0.138640589963,0.064983360468,0.089809392148
2000-01-26,0.111393563393,0.142634441309,0.137741690536,0.0644199605433,0.0894213911122
2000-01-27,0.112421583624,0.141689267805,0.136842791211,0.0638565607155,0.089033390176
2000-01-28,0.111927411872,0.140160290636,0.135585623731,0.0638402462869,0.0897797397599
2000-01-31,0.111179541471,0.138534012872,0.134268744908,0.0639151127743,0.0907151477804
2000-02-01,0.105336518999,0.1428861608,0.144302632161,0.0511443045979,0.0895480909332
2000-02-02,0.102963668986,0.142574040359,0.14398141093,0.0498606643955,0.088221874631
2000-02-03,0.100543281949,0.140856601673,0.14224260933,0.0505471617593,0.0889552402443
2000-02-04,0.0999293176393,0.14016121271,0.141534775364,0.0498008318992,0.0881907282003
2000-02-07,0.107979052589,0.140232360882,0.141600166961,0.0479798814514,0.0863028077393
2000-02-08,0.10447718842,0.139281459421,0.140634591017,0.0475917583245,0.085912765035
2000-02-09,0.108735812266,0.138586070368,0.139926756958,0.0468454283674,0.0851482528916
2000-02-10,0.112816170384,0.139168243447,0.140507632418,0.0443080643561,0.0825113936516
2000-02-11,0.111524797502,0.138089585781,0.139413185531,0.0440990446443,0.0823085856669
2000-02-14,0.111314901751,0.136244390891,0.137545512989,0.0449646454233,0.0832291859999
2000-02-15,0.111556611743,0.134654708499,0.135935582424,0.045472039469,0.083775316993
2000-02-16,0.108957958898,0.134214831854,0.135485490251,0.0443675026816,0.0826363354104
2000-02-17,0.106133503223,0.133647199005,0.134906527135,0.0434420693094,0.0816845885473
2000-02-18,0.100825216486,0.131674248001,0.132909983742,0.0444867736005,0.0827924236992
2000-02-22,0.098131489594,0.128423734864,0.129624730832,0.0473225119457,0.0857726059477
2000-02-23,0.0968876537355,0.128750395444,0.129947864314,0.0451433546676,0.0835102160475
2000-02-24,0.0946930696092,0.127160713052,0.128337933749,0.0456507487133,0.0840563470406
2000-02-25,0.0994032991171,0.126720836408,0.127887841575,0.044546211926,0.082917365458
2000-02-28,0.098789334728,0.126025447355,0.127180007517,0.0437998819689,0.0821528533146
2000-02-29,0.0846186873661,0.117031772409,0.119961725867,0.0417998281059,0.080077698134
2000-03-01,0.062952250699,0.100607297895,0.10545753245,0.0440385591328,0.0813689663796
2000-03-02,0.0649137270119,0.100025293475,0.104718467875,0.0431175305102,0.0804201494155
2000-03-03,0.0635161834454,0.0989739816073,0.103855130787,0.0431502265796,0.0804491939643
2000-03-06,0.0623178229948,0.098016531317,0.103016648301,0.0429921778055,0.0802826663084
2000-03-07,0.0615178285417,0.0972468039176,0.102227874721,0.0424526390598,0.0797249939494
2000-03-08,0.063080938779,0.0964770765183,0.101439101141,0.041913100314,0.0791673215904
2000-03-09,0.0644448660567,0.0956134877174,0.100625473158,0.0415643066016,0.0788052216319
2000-03-10,0.066007976294,0.094843760318,0.0998366995777,0.0410247678558,0.0782475492729
2000-03-13,0.0667743543803,0.093698586961,0.0989485079872,0.0412482088635,0.0784721661243
2000-03-14,0.0655759939297,0.0927411366707,0.0981100255012,0.0410901600895,0.0783056384684
2000-03-15,0.0720644965858,0.0920652707608,0.0973461064237,0.0403598764053,0.0775523938069
2000-03-16,0.0704677699816,0.0909200974038,0.0964579148333,0.0405833174131,0.0777770106582
2000-03-17,0.0706365989546,0.0894933395785,0.0954951597351,0.041378993236,0.0785883444174
2000-03-20,0.0684423233153,0.0880665818412,0.0945324047362,0.0421746691538,0.0793996782745
2000-03-21,0.0676423288621,0.0872968544418,0.0937436311561,0.0416351304081,0.0788420059155
2000-03-22,0.0646784127561,0.0866209885319,0.0929797120785,0.0409048467239,0.0780887612539
2000-03-23,0.0561915551962,0.0855696767522,0.09211637509,0.0409375428882,0.0781178059006
2000-03-24,0.0625079665772,0.0859262872258,0.0916258555409,0.0381090648819,0.0752132659105
2000-03-27,0.0627038873128,0.0856258672735,0.0909613544738,0.0366158014442,0.0736777320386
2000-03-28,0.0613063438244,0.0845745554937,0.0900980174852,0.0366484976085,0.0737067766853
2000-03-29,0.0630686370995,0.0838986895838,0.0893340984077,0.0359182139243,0.0729535320237
