Date,corr_0.05,corr_0.1,corr_0.15,corr_0.2,corr_0.25
2000-01-03,0.0384718795046,0.105442877854,0.120088088644,0.085154569332,0.101868335595
2000-01-04,0.0601150744297,0.12964382059,0.118881252869,0.0845161440273,0.101858451532
2000-01-05,0.0545031679728,0.126626326706,0.118041818679,0.0825805113733,0.0988236323841
2000-01-06,0.0522729526057,0.121634739244,0.117436440538,0.0821707231311,0.0984356313483
2000-01-07,0.04878836549,0.116421321555,0.116509432635,0.0818824056807,0.098047630412
2000-01-10,0.0485621457828,0.109158143342,0.116749541299,0.0812020123168,0.0970924540664
2000-01-11,0.051692323752,0.10983771396,0.117931268381,0.0800355311507,0.0946248102278
2000-01-12,0.0574602796798,0.114924871718,0.118187473739,0.0792805750301,0.0932915171085
2000-01-13,0.0590213527203,0.107318555907,0.117957192875,0.0789882144773,0.0934706913826
2000-01-14,0.0597420247337,0.103021487984,0.117801048245,0.0764617954988,0.0915702228538
2000-01-18,0.0574754051001,0.103143491285,0.115863234072,0.0757911583365,0.0925056309739
2000-01-19,0.051952495735,0.100144710855,0.11265938694,0.0730591737571,0.091172337755
2000-01-20,0.052890524969,0.101322661976,0.109128651576,0.0693280436874,0.0887046939164
2000-01-21,0.0609418980416,0.111445976529,0.104997799128,0.0663266742882,0.0877495175708
2000-01-24,0.0645221016156,0.117902260282,0.10189574018,0.0665138338375,0.0903864516204
2000-01-25,0.0613331158989,0.113703538785,0.0994738757158,0.0644288402778,0.089809392148
2000-01-26,0.0577753275338,0.11262729383,0.09624182186,0.0621311200177,0.0894213911122
2000-01-27,0.0562172057406,0.109513611851,0.0929179365452,0.0600698349587,0.089033390176
2000-01-28,0.0572508911119,0.108176720643,0.0915067643413,0.0597179457009,0.0897797397599
2000-01-31,0.0849076155492,0.119101575931,0.1204015509,0.0597617056735,0.0907151477804
2000-02-01,0.0981404604198,0.138906035634,0.117281772555,0.0477986368615,0.0895480909332
2000-02-02,0.0894731967931,0.132732194354,0.115746827401,0.0460926263129,0.088221874631
2000-02-03,0.0795656326162,0.12143606737,0.115806207614,0.0471306719485,0.0889552402443
2000-02-04,0.0837267133945,0.122648016185,0.117287222649,0.0472475987494,0.0881907282003
2000-02-07,0.0928480297779,0.125044264064,0.117631043307,0.0463367504851,0.0863028077393
2000-02-08,0.0849069153369,0.121373606941,0.118001579421,0.0472313675545,0.085912765035
2000-02-09,0.0949915727916,0.125614444447,0.1203914988,0.0484107176464,0.0851482528916
2000-02-10,0.102171920662,0.129203102849,0.123855912611,0.0486640848727,0.0825113936516
2000-02-11,0.120771228803,0.1498225841,0.126996143464,0.0513189106361,0.0823085856669
2000-02-14,0.120965549636,0.147414927639,0.128951244183,0.0540194224545,0.0832291859999
2000-02-15,0.116092379773,0.14089676901,0.130931663152,0.0567085463503,0.083775316993
2000-02-16,0.115006260466,0.143348194087,0.131630555677,0.056879294857,0.0826363354104
2000-02-17,0.110585637633,0.142639994819,0.130945969093,0.0563163215448,0.0816845885473
2000-02-18,0.10931519293,0.144793550448,0.131076662496,0.0580694010019,0.0827924236992
2000-02-22,0.108555102425,0.143831837812,0.132269905332,0.0626149377172,0.0857726059477
2000-02-23,0.105579407955,0.143450199004,0.131946018256,0.0608629270583,0.0835102160475
2000-02-24,0.105770804984,0.14396557629,0.132529114247,0.0623037443302,0.0840563470406
2000-02-25,0.118484807157,0.152391264138,0.132468948712,0.0616672769446,0.082917365458
2000-02-28,0.117668121482,0.150692936161,0.132945947958,0.0616071432688,0.0821528533146
2000-02-29,0.0934022981245,0.139828072391,0.114471225844,0.0604024061418,0.080077698134
2000-03-01,0.0573072508916,0.0993195391327,0.129932225556,0.0637232748,0.0813689663796
2000-03-02,0.0587435328557,0.0977626804225,0.130491173186,0.0637824597418,0.0804201494155
2000-03-03,0.0554542104806,0.0951850446905,0.130556827907,0.0654139919303,0.0804491939643
2000-03-06,0.0586284265971,0.0965362289442,0.132575235979,0.0661873200192,0.0802826663084
2000-03-07,0.0725370240211,0.107723933464,0.136467509255,0.0672287512072,0.0797249939494
2000-03-08,0.069626734507,0.106802325182,0.133472123707,0.0687262861698,0.0791673215904
2000-03-09,0.0677969051748,0.103352381143,0.133372209464,0.0699676050876,0.0788052216319
2000-03-10,0.0686240472705,0.101849045475,0.133532070345,0.0705020817203,0.0782475492729
2000-03-13,0.0779109191337,0.110343510113,0.132624325525,0.0712279724617,0.0784721661243
2000-03-14,0.0913738383985,0.12490072609,0.131473370138,0.0705947016623,0.0783056384684
2000-03-15,0.0901171475765,0.118107974615,0.128278739336,0.0690536518924,0.0775523938069
2000-03-16,0.0730584611815,0.0988955493673,0.127751621665,0.0682312408587,0.0777770106582
2000-03-17,0.07261036837,0.0961026295483,0.127044666222,0.0686567635789,0.0785883444174
2000-03-20,0.0686635543815,0.0950696299988,0.124082033674,0.0695415174888,0.0793996782745
2000-03-21,0.0648925001354,0.0936259586957,0.121065368847,0.0689708492895,0.0788420059155
2000-03-22,0.060604898437,0.0928439616822,0.119302157544,0.0684718789694,0.0780887612539
2000-03-23,0.0521151194655,0.0924228807531,0.117928130803,0.0688075929209,0.0781178059006
2000-03-24,0.0581253553822,0.092226152075,0.118319490443,0.0664707635045,0.0752132659105
2000-03-27,0.0589137359581,0.0929951876512,0.118436383662,0.0662404726437,0.0736777320386
2000-03-28,0.0594553342182,0.0937877628898,0.118587058882,0.0672483597787,0.0737067766853
2000-03-29,0.0623459039373,0.0949012134365,0.118663229153,0.0679806972648,0.0729535320237
