Date,BM
1999/11/30,0.206539026
1999/10/31,0.210774808
1999/9/30,0.224441701
1999/8/31,0.214808927
1999/7/31,0.213278734
1999/6/30,0.205225029
1999/5/31,0.211367335
1999/4/30,0.205456936
1999/3/31,0.212833883
1999/2/28,0.214836617
1999/1/31,0.207477489
1998/12/31,0.215396545
1998/11/30,0.225220153
1998/10/31,0.239303149
1998/9/30,0.25926214
1998/8/31,0.268089327
1998/7/31,0.228670737
1998/6/30,0.22516944
1998/5/31,0.231529717
1998/4/30,0.226875695
1998/3/31,0.228456548
1998/2/28,0.23917151
1998/1/31,0.255734854
1997/12/31,0.257029764
1997/11/30,0.258417965
1997/10/31,0.269411067
1997/9/30,0.259208378
1997/8/31,0.269461885
1997/7/31,0.252684776
1997/6/30,0.272257011
1997/5/31,0.277300205
1997/4/30,0.294611555
1997/3/31,0.311856795
1997/2/28,0.298382765
1997/1/31,0.29921307
1996/12/31,0.316545852
1996/11/30,0.295857988
1996/10/31,0.317017499
1996/9/30,0.324654243
1996/8/31,0.337074864
1996/7/31,0.343088483
1996/6/30,0.326402716
1996/5/31,0.321099444
1996/4/30,0.328277854
1996/3/31,0.332159702
1996/2/29,0.329521864
1996/1/31,0.331071015
1995/12/31,0.341565051
1995/11/30,0.345649995
1995/10/31,0.356760614
1995/9/30,0.355050595
1995/8/31,0.365056766
1995/7/31,0.364179322
1995/6/30,0.371691942
1995/5/31,0.374279512
1995/4/30,0.38647343
1995/3/31,0.394337316
1995/2/28,0.388802488
1995/1/31,0.402625116
1994/12/31,0.411184211
1994/11/30,0.411776817
1994/10/31,0.39569484
1994/9/30,0.402026212
1994/8/31,0.383567949
1994/7/31,0.397725013
1994/6/30,0.409182045
1994/5/31,0.394851141
1994/4/30,0.398962697
1994/3/31,0.402673754
1994/2/28,0.379463439
1994/1/31,0.368636414
1993/12/31,0.379693967
1993/11/30,0.383244548
1993/10/31,0.380995923
1993/9/30,0.387762224
1993/8/31,0.378100423
1993/7/31,0.390945698
1993/6/30,0.387882549
1993/5/31,0.386892096
1993/4/30,0.395210054
1993/3/31,0.384452732
1993/2/28,0.390411494
1993/1/31,0.394851141
1992/12/31,0.398501634
1992/11/30,0.427587976
1992/10/31,0.439850451
1992/9/30,0.440703363
1992/8/31,0.440451022
1992/7/31,0.429479471
1992/6/30,0.446588067
1992/5/31,0.42859592
1992/4/30,0.431667098
1992/3/31,0.442673749
1992/2/29,0.440703363
1992/1/31,0.44345898
1991/12/31,0.434537001
1991/11/30,0.481741979
1991/10/31,0.462620281
1991/9/30,0.467836257
1991/8/31,0.457351932
1991/7/31,0.466526709
1991/6/30,0.486878621
1991/5/31,0.460638445
1991/4/30,0.477144766
1991/3/31,0.477053716
1991/2/28,0.48756704
1991/1/31,0.519534497
1990/12/31,0.540511324
1990/11/30,0.547765118
1990/10/31,0.58058523
1990/9/30,0.576601511
1990/8/31,0.54247586
1990/7/31,0.490508657
1990/6/30,0.488066768
1990/5/31,0.476871722
1990/4/30,0.520210165
1990/3/31,0.504948495
1990/2/28,0.498877526
1990/1/31,0.506072874
