Date,R_1M,R_3M,R_6M,R_12M
1990-01-31,0.014160690409626975,0.02829099307159355,0.08034520481341922,0.03594870548194984
1990-02-01,0.027798898993278254,0.035706682076705354,0.06901061467806202,0.04604762918580252
1990-02-02,0.018221926749667494,0.03351263145171024,0.04212498489060801,0.03665538498730814
1990-02-05,0.025372909447039182,0.03317764050022598,0.0077745969564562145,0.049691125508512846
1990-02-06,0.02508645270885146,0.0429533458715039,0.015682824728508127,0.0655220530243279
1990-02-07,0.014741573033707933,0.05468164794007491,0.013782771535580496,0.07286891385767791
1990-02-08,0.00913022585295531,0.06544329649207126,0.020963479096588244,0.07075925036040376
1990-02-09,0.009741622204903821,0.06192674300101908,0.005695102212097458,0.07712367364066908
1990-02-12,0.02420625302956858,0.07246728065923413,0.02653902084343196,0.1166383906931654
1990-02-13,0.0328983143012509,0.07084164098846002,0.02528548123980423,0.1041628904597911
1990-02-14,0.034697750067768984,0.06816059757236226,0.02424625764284216,0.11147254600765044
1990-02-15,0.019946848218818092,0.06900773388276749,-0.007465137806443867,0.08758099674520015
1990-02-16,0.021098821832171044,0.07727218081269527,-0.014697042558307394,0.10922096657850444
1990-02-20,0.0234763254977286,0.09542973871154614,0.0015854141894569018,0.12622336046830696
1990-02-21,0.02914517654957738,0.09381389812921537,-0.01773125400555442,0.11435285500656134
1990-02-22,0.03662879950875042,0.08867055572612825,-0.02809333742708009,0.12057107767884578
1990-02-23,0.05352460280734239,0.11260219034397667,-0.052722505013111154,0.1280271479253432
1990-02-26,0.04055739799799185,0.09794018316244246,-0.05221042382937302,0.11741260230626449
1990-02-27,0.03188397020529288,0.0937746018288621,-0.02670623145400597,0.09855871131835525
1990-02-28,0.02425502425502435,0.09421796378318126,-0.031787640483292745,0.1080177167133689
1990-03-01,0.01791188315201042,0.10416541443769911,-0.025695738414377667,0.10317364909538984
1990-03-02,0.02414019192942707,0.09268641592656612,-0.05015795434225434,0.10410085235739408
1990-03-05,0.02202313177922921,0.09354587403367876,-0.03349913106010671,0.10663989932282614
1990-03-06,0.00828573965022339,0.07463084070665515,-0.043914420146184185,0.11478708608291655
1990-03-07,0.00928921204926536,0.06457931443834397,-0.037275560172132405,0.11639709155661082
1990-03-08,0.003232726952126397,0.06277367972492431,-0.05821847356511012,0.10474035324889064
1990-03-09,0.012251057911401686,0.08380433817654542,-0.0429970703991952,0.10954931494688247
1990-03-12,0.009596362240529066,0.077450025098178,-0.05031446540880513,0.10124900345469023
1990-03-13,0.02482142857142855,0.08005952380952364,-0.04452380952380941,0.10127976190476184
1990-03-14,0.023362127823789658,0.07729984860628725,-0.042538664766824,0.11191260723721319
1990-03-15,0.019552163753068896,0.055639364628627286,-0.057443724672405216,0.10480078090336331
1990-03-16,-0.0034804480711297936,0.048433798367991665,-0.07335263665877001,0.09265596209528804
1990-03-19,-0.01583558932262097,0.04532355252816367,-0.07498617296888188,0.08319506302215252
1990-03-20,-0.018883391398542004,0.055332728284100074,-0.06724829463945892,0.07324999268085608
1990-03-21,-0.025578383469712085,0.046182374757167244,-0.068110908341673,0.08294578206864078
1990-03-22,-0.015877744347463363,0.04950996455062717,-0.07212011081652714,0.09201942268164065
1990-03-23,-0.015390546230947266,0.04400687978174478,-0.07680445999644159,0.08973370499970335
1990-03-26,-0.013950182152059898,0.051861505197997815,-0.09785860261232715,0.09537067203743743
1990-03-27,-0.036281112737920895,0.0472327964860908,-0.09733528550512449,0.10190336749633966
1990-03-28,-0.03274853801169586,0.046842105263157796,-0.10801169590643278,0.097514619883041
1990-03-29,-0.02505942075765144,0.055019220047536566,-0.11684615158895506,0.10102995979928986
1990-03-30,-0.01606165793963632,0.059481084897334835,-0.09969406365829259,0.09225157380714255
1990-04-02,-0.009241216415707076,0.05013286093888403,-0.07015057573073513,0.12046058458813103
1990-04-03,-0.01527761610988243,0.04301012687696426,-0.08273192876265867,0.10272378070073329
1990-04-04,-0.00164179542056353,0.0540326600017591,-0.08704447506523205,0.11340115512034954
1990-04-05,0.003756640154961355,0.04625363190796228,-0.08229389839462331,0.10163472544243235
1990-04-06,0.008174547165372914,0.062191249117854674,-0.08403904963537989,0.11344389555398737
1990-04-09,0.007176963412133475,0.07051000380818473,-0.08170020798547029,0.0942965111169698
1990-04-10,0.029029146081211543,0.0737860671792323,-0.10807729412108624,0.09085859619376158
1990-04-11,0.037523397285914806,0.07905357978474492,-0.12146116050538147,0.10443963500233977
1990-04-12,0.02886681768019983,0.06731718650171348,-0.14195272114770285,0.10472207701690195
1990-04-16,0.026860822648952842,0.05650635261356385,-0.12969194175320542,0.10573185589139644
1990-04-17,0.028403156551003894,0.0598816293373563,-0.12025646976906113,0.12457931994893823
1990-04-18,0.04085466071847832,0.06131134069030275,-0.12268138060577605,0.14595562338577128
1990-04-19,0.05888964476914449,0.05093318347185671,-0.11632997130941458,0.1489839983436363
1990-04-20,0.06955717354977331,0.06167939842444503,-0.08767008832656953,0.14645500119360233
1990-04-23,0.08530433469264453,0.07865881286814669,-0.0560942455822383,0.15073251774656393
1990-04-24,0.08490737377406465,0.0773398716551641,-0.04722121322193973,0.1555878435645961
1990-04-25,0.06791554979971703,0.06448212510917695,-0.0592416347920367,0.15278739872903047
1990-04-26,0.08329328367175282,0.06797428811726536,-0.06103568424846806,0.13916256157635454
1990-04-27,0.09647230409285656,0.08216097961167979,-0.057549147701376424,0.15165142353620364
1990-04-30,0.09198911729141468,0.07472793228536867,-0.07886940749697713,0.12956469165659001
1990-05-01,0.09303235515425134,0.05787810383747183,-0.0914070729872084,0.12972159518434911
