Date,CAPE
1993-07-01,20.56
1993-06-01,20.61
1993-05-01,20.52
1993-04-01,20.46
1993-03-01,20.85
1993-02-01,20.54
1993-01-01,20.32
1992-12-01,20.45
1992-11-01,19.83
1992-10-01,19.37
1992-09-01,19.71
1992-08-01,19.72
1992-07-01,19.62
1992-06-01,19.31
1992-05-01,19.66
1992-04-01,19.3
1992-03-01,19.28
1992-02-01,19.58
1992-01-01,19.77
1991-12-01,18.44
1991-11-01,18.29
1991-10-01,18.35
1991-09-01,18.36
1991-08-01,18.51
1991-07-01,18.1
1991-06-01,18.01
1991-05-01,18.03
1991-04-01,18.16
1991-03-01,17.82
1991-02-01,17.36
1991-01-01,15.61
1990-12-01,15.85
1990-11-01,15.19
1990-10-01,14.82
1990-09-01,15.3
1990-08-01,16.17
1990-07-01,17.75
1990-06-01,17.82
1990-05-01,17.39
1990-04-01,16.81
1990-03-01,16.83
1990-02-01,16.51
1990-01-01,17.05
1989-12-01,17.65
1989-11-01,17.24
1989-10-01,17.64
1989-09-01,17.71
1989-08-01,17.73
1989-07-01,17.01
1989-06-01,16.64
1989-05-01,16.19
1989-04-01,15.69
1989-03-01,15.3
1989-02-01,15.47
1989-01-01,15.09
1988-12-01,14.7
1988-11-01,14.45
1988-10-01,14.81
1988-09-01,14.37
1988-08-01,14.24
1988-07-01,14.61
1988-06-01,14.77
1988-05-01,14.03
1988-04-01,14.43
1988-03-01,14.67
1988-02-01,14.3
1988-01-01,13.9
1987-12-01,13.39
1987-11-01,13.59
1987-10-01,15.53
1987-09-01,17.68
1987-08-01,18.33
1987-07-01,17.31
1987-06-01,16.83
1987-05-01,16.16
1987-04-01,16.2
1987-03-01,16.43
1987-02-01,15.82
1987-01-01,14.92
1986-12-01,14.09
1986-11-01,13.87
1986-10-01,13.43
1986-09-01,13.47
1986-08-01,13.89
1986-07-01,13.62
1986-06-01,13.89
1986-05-01,13.56
1986-04-01,13.55
1986-03-01,13.19
1986-02-01,12.39
1986-01-01,11.72
1985-12-01,11.69
1985-11-01,11.16
1985-10-01,10.55
1985-09-01,10.47
1985-08-01,10.74
1985-07-01,11.0
1985-06-01,10.81
1985-05-01,10.61
1985-04-01,10.4
1985-03-01,10.37
1985-02-01,10.49
1985-01-01,10.0
1984-12-01,9.6
1984-11-01,9.69
1984-10-01,9.6
1984-09-01,9.69
1984-08-01,9.62
1984-07-01,8.87
1984-06-01,9.01
1984-05-01,9.23
1984-04-01,9.31
1984-03-01,9.33
1984-02-01,9.32
1984-01-01,9.89
1983-12-01,9.82
1983-11-01,9.85
1983-10-01,10.0
1983-09-01,9.98
1983-08-01,9.73
1983-07-01,10.01
1983-06-01,10.0
1983-05-01,9.87
1983-04-01,9.53
1983-03-01,9.23
1983-02-01,8.91
1983-01-01,8.76
1982-12-01,8.47
1982-11-01,8.35
1982-10-01,8.0
1982-09-01,7.4
1982-08-01,6.64
1982-07-01,6.64
1982-06-01,6.69
1982-05-01,7.19
1982-04-01,7.26
1982-03-01,6.95
1982-02-01,7.18
1982-01-01,7.39
1981-12-01,7.83
1981-11-01,7.81
1981-10-01,7.65
1981-09-01,7.58
1981-08-01,8.4
1981-07-01,8.45
1981-06-01,8.77
1981-05-01,8.82
1981-04-01,9.09
1981-03-01,9.08
1981-02-01,8.83
1981-01-01,9.26
1980-12-01,9.39
1980-11-01,9.65
1980-10-01,9.36
1980-09-01,9.2
1980-08-01,9.07
1980-07-01,8.88
1980-06-01,8.51
1980-05-01,8.1
1980-04-01,7.84
1980-03-01,8.08
1980-02-01,9.05
1980-01-01,8.85
1979-12-01,8.75
1979-11-01,8.52
1979-10-01,8.68
1979-09-01,9.11
1979-08-01,9.13
1979-07-01,8.83
1979-06-01,8.85
1979-05-01,8.79
1979-04-01,9.13
1979-03-01,9.07
1979-02-01,9.0
1979-01-01,9.26
1978-12-01,9.01
1978-11-01,8.93
1978-10-01,9.53
1978-09-01,9.94
1978-08-01,10.02
1978-07-01,9.43
1978-06-01,9.55
1978-05-01,9.63
1978-04-01,9.26
1978-03-01,8.95
1978-02-01,9.05
1978-01-01,9.24
1977-12-01,9.68
1977-11-01,9.77
1977-10-01,9.77
1977-09-01,10.07
1977-08-01,10.27
1977-07-01,10.57
1977-06-01,10.53
1977-05-01,10.55
1977-04-01,10.64
1977-03-01,10.9
1977-02-01,11.01
1977-01-01,11.44
1976-12-01,11.6
1976-11-01,11.25
1976-10-01,11.35
1976-09-01,11.81
1976-08-01,11.6
1976-07-01,11.76
1976-06-01,11.54
1976-05-01,11.53
1976-04-01,11.69
1976-03-01,11.63
1976-02-01,11.59
1976-01-01,11.19
1975-12-01,10.25
1975-11-01,10.44
1975-10-01,10.33
1975-09-01,9.92
1975-08-01,10.09
1975-07-01,10.9
1975-06-01,11.01
1975-05-01,10.82
1975-04-01,10.23
1975-03-01,10.16
1975-02-01,9.76
1975-01-01,8.92
1974-12-01,8.29
1974-11-01,8.95
1974-10-01,8.74
1974-09-01,8.68
1974-08-01,9.82
1974-07-01,10.39
1974-06-01,11.89
1974-05-01,12.0
1974-04-01,12.55
1974-03-01,13.31
1974-02-01,12.96
1974-01-01,13.53
1973-12-01,13.49
1973-11-01,14.65
1973-10-01,15.91
1973-09-01,15.48
1973-08-01,15.28
1973-07-01,15.89
1973-06-01,15.81
1973-05-01,16.31
1973-04-01,16.94
1973-03-01,17.41
1973-02-01,17.89
1973-01-01,18.71
1972-12-01,18.65
1972-11-01,18.34
1972-10-01,17.53
1972-09-01,17.61
1972-08-01,17.94
1972-07-01,17.4
1972-06-01,17.64
1972-05-01,17.66
1972-04-01,17.92
1972-03-01,17.81
1972-02-01,17.46
1972-01-01,17.26
1971-12-01,16.6
1971-11-01,15.64
1971-10-01,16.43
1971-09-01,16.86
1971-08-01,16.52
1971-07-01,16.89
1971-06-01,17.08
1971-05-01,17.56
1971-04-01,17.92
1971-03-01,17.4
1971-02-01,17.03
1971-01-01,16.46
1970-12-01,15.87
1970-11-01,14.95
1970-10-01,15.06
1970-09-01,14.84
1970-08-01,14.1
1970-07-01,13.73
1970-06-01,13.8
1970-05-01,13.98
1970-04-01,15.87
1970-03-01,16.53
1970-02-01,16.37
1970-01-01,17.09
1969-12-01,17.33
1969-11-01,18.44
1969-10-01,18.45
1969-09-01,18.4
1969-08-01,18.43
1969-07-01,18.68
1969-06-01,19.71
1969-05-01,20.97
1969-04-01,20.43
1969-03-01,20.2
1969-02-01,20.9
1969-01-01,21.19
1968-12-01,22.28
1968-11-01,22.2
1968-10-01,22.0
1968-09-01,21.68
1968-08-01,21.14
1968-07-01,21.75
1968-06-01,22.0
1968-05-01,21.63
1968-04-01,21.28
1968-03-01,19.93
1968-02-01,20.42
1968-01-01,21.51
1967-12-01,21.75
1967-11-01,21.26
1967-10-01,22.07
1967-09-01,22.22
1967-08-01,22.03
1967-07-01,21.8
1967-06-01,21.55
1967-05-01,21.95
1967-04-01,21.69
1967-03-01,21.44
1967-02-01,21.07
1967-01-01,20.43
1966-12-01,19.74
1966-11-01,19.71
1966-10-01,18.83
1966-09-01,19.16
1966-08-01,19.91
1966-07-01,21.38
1966-06-01,21.56
1966-05-01,21.85
1966-04-01,23.11
1966-03-01,22.61
1966-02-01,23.7
1966-01-01,24.06
1965-12-01,23.69
1965-11-01,23.93
1965-10-01,23.78
1965-09-01,23.37
1965-08-01,22.67
1965-07-01,22.3
1965-06-01,22.39
1965-05-01,23.71
1965-04-01,23.42
1965-03-01,23.25
1965-02-01,23.37
1965-01-01,23.27
1964-12-01,22.75
1964-11-01,23.23
1964-10-01,23.21
1964-09-01,22.89
1964-08-01,22.65
1964-07-01,22.98
1964-06-01,22.3
1964-05-01,22.57
1964-04-01,22.42
1964-03-01,22.17
1964-02-01,21.83
1964-01-01,21.63
1963-12-01,21.04
1963-11-01,20.72
1963-10-01,20.89
1963-09-01,20.96
1963-08-01,20.47
1963-07-01,19.97
1963-06-01,20.38
1963-05-01,20.51
1963-04-01,20.15
1963-03-01,19.29
1963-02-01,19.47
1963-01-01,19.26
1962-12-01,18.59
1962-11-01,17.85
1962-10-01,16.74
1962-09-01,17.32
1962-08-01,17.57
1962-07-01,17.14
1962-06-01,16.83
1962-05-01,19.09
1962-04-01,20.66
1962-03-01,21.44
1962-02-01,21.45
1962-01-01,21.2
1961-12-01,22.04
1961-11-01,21.86
1961-10-01,20.92
1961-09-01,20.71
1961-08-01,20.94
1961-07-01,20.15
1961-06-01,20.33
1961-05-01,20.6
1961-04-01,20.38
1961-03-01,19.84
1961-02-01,19.23
1961-01-01,18.47
1960-12-01,17.56
1960-11-01,17.15
1960-10-01,16.61
1960-09-01,17.05
1960-08-01,17.58
1960-07-01,17.38
1960-06-01,17.82
1960-05-01,17.26
1960-04-01,17.43
1960-03-01,17.29
1960-02-01,17.55
1960-01-01,18.34
1959-12-01,18.62
1959-11-01,18.07
1959-10-01,18.02
1959-09-01,18.12
1959-08-01,18.96
1959-07-01,19.09
1959-06-01,18.45
1959-05-01,18.69
1959-04-01,18.43
1959-03-01,18.2
1959-02-01,17.76
1959-01-01,17.98
1958-12-01,17.36
1958-11-01,16.99
1958-10-01,16.56
1958-09-01,15.93
1958-08-01,15.54
1958-07-01,14.96
1958-06-01,14.64
1958-05-01,14.32
1958-04-01,13.91
1958-03-01,13.93
1958-02-01,13.78
1958-01-01,13.79
1957-12-01,13.67
1957-11-01,13.74
1957-10-01,14.15
1957-09-01,15.16
1957-08-01,15.87
1957-07-01,16.87
1957-06-01,16.73
1957-05-01,16.6
1957-04-01,16.12
1957-03-01,15.9
1957-02-01,15.84
1957-01-01,16.72
1956-12-01,17.2
1956-11-01,17.12
1956-10-01,17.42
1956-09-01,17.84
1956-08-01,18.67
1956-07-01,18.86
1956-06-01,18.16
1956-05-01,18.54
1956-04-01,19.37
1956-03-01,19.37
1956-02-01,18.27
1956-01-01,18.29
1955-12-01,18.94
1955-11-01,18.84
1955-10-01,17.77
1955-09-01,18.84
1955-08-01,18.22
1955-07-01,18.45
1955-06-01,17.37
1955-05-01,16.52
1955-04-01,16.69
1955-03-01,16.22
1955-02-01,16.44
1955-01-01,15.99
1954-12-01,15.79
1954-11-01,15.12
1954-10-01,14.62
1954-09-01,14.36
1954-08-01,14.04
1954-07-01,13.83
1954-06-01,13.36
1954-05-01,13.31
1954-04-01,12.91
1954-03-01,12.42
1954-02-01,12.22
1954-01-01,12.0
1953-12-01,11.75
1953-11-01,11.64
1953-10-01,11.39
1953-09-01,11.14
1953-08-01,11.71
1953-07-01,11.75
1953-06-01,11.62
1953-05-01,12.14
1953-04-01,12.16
1953-03-01,12.83
1953-02-01,12.86
1953-01-01,13.01
1952-12-01,12.93
1952-11-01,12.47
1952-10-01,12.13
1952-09-01,12.43
1952-08-01,12.68
1952-07-01,12.67
1952-06-01,12.45
1952-05-01,12.2
1952-04-01,12.24
1952-03-01,12.36
1952-02-01,12.36
1952-01-01,12.53
1951-12-01,12.15
1951-11-01,11.85
1951-10-01,12.31
1951-09-01,12.44
1951-08-01,12.26
1951-07-01,11.78
1951-06-01,11.62
1951-05-01,11.86
1951-04-01,11.95
1951-03-01,11.84
1951-02-01,12.14
1951-01-01,11.9
1950-12-01,11.31
1950-11-01,11.54
1950-10-01,11.66
1950-09-01,11.34
1950-08-01,11.04
1950-07-01,10.54
1950-06-01,11.55
1950-05-01,11.46
1950-04-01,11.18
1950-03-01,10.91
1950-02-01,10.91
1950-01-01,10.75
1949-12-01,10.53
1949-11-01,10.22
1949-10-01,10.17
1949-09-01,9.88
1949-08-01,9.85
1949-07-01,9.61
1949-06-01,9.07
1949-05-01,9.69
1949-04-01,9.78
1949-03-01,9.9
1949-02-01,9.87
1949-01-01,10.25
1948-12-01,10.16
1948-11-01,10.25
1948-10-01,10.83
1948-09-01,10.55
1948-08-01,10.72
1948-07-01,11.13
1948-06-01,11.58
1948-05-01,11.24
1948-04-01,10.78
1948-03-01,10.19
1948-02-01,10.0
