Date,corr_0.05,corr_0.1,corr_0.15,corr_0.2,corr_0.25,corr_0.3
2000-01-03,0.164646853667,0.224088303251,0.117306185233,0.101890415039,0.107230138037,0.0944652140599
2000-01-04,0.184827684906,0.222081083301,0.116091830338,0.100832605044,0.107237608987,0.0936191508382
2000-01-05,0.181652573812,0.222579466165,0.114308710358,0.098572715709,0.103895789223,0.0927730875065
2000-01-06,0.178383819472,0.221400420212,0.113752971153,0.0981195716816,0.103484598739,0.0919270241748
2000-01-07,0.173894896973,0.219285774611,0.112654718548,0.0971303553934,0.103073408364,0.0910809609531
2000-01-10,0.172528333049,0.220348109016,0.113210472402,0.0976704953181,0.102034225892,0.0902348976214
2000-01-11,0.176791464735,0.224045295466,0.114605348689,0.0987450749223,0.0993203981161,0.0893888342897
2000-01-12,0.182646954746,0.225194143993,0.115013344825,0.0990635082138,0.0978625544259,0.088542771068
2000-01-13,0.181508484235,0.22476004073,0.11529868817,0.0995638358041,0.0980793559317,0.0876967077363
2000-01-14,0.182999611462,0.228113600605,0.115378634833,0.0993416456526,0.0959935201447,0.0868506444046
2000-01-18,0.179648768026,0.224759805968,0.113534096536,0.0978233453503,0.0970476444104,0.0860045811829
2000-01-19,0.175155066133,0.221863544598,0.1092394468,0.0933097352444,0.0955898006123,0.0851585178512
2000-01-20,0.177423523166,0.219816806981,0.104185309541,0.0877668109048,0.0928759728364,0.0843124545195
2000-01-21,0.185300608402,0.2154454714,0.0987394346691,0.0821525402163,0.0918367903643,0.0834663911878
2000-01-24,0.1856352529,0.208324857214,0.0956802350572,0.0797808646178,0.0947748905967,0.0826203279661
2000-01-25,0.18220212929,0.206147546156,0.0927763946186,0.0768383857212,0.0941543694506,0.0817742646344
2000-01-26,0.178796562291,0.202607296424,0.088784303925,0.0728272378779,0.0937431789675,0.0809282013027
2000-01-27,0.176266735894,0.198430055474,0.0845676653067,0.0686055885135,0.0933319885922,0.080082138081
2000-01-28,0.175208956598,0.19561633462,0.08333346811,0.0676836619437,0.094176782087,0.0792360747493
2000-01-31,0.203030960197,0.217299388108,0.023988895966,0.105488360488,0.0952309062447,0.0783900114176
2000-02-01,0.219285328949,0.230445377948,0.115713208962,0.0770987242188,0.0939708947515,0.0771876243445
2000-02-02,0.211706884143,0.228877246319,0.113536125938,0.0750247688797,0.0925173261409,0.0763398707681
2000-02-03,0.200539193053,0.227803319846,0.114290792028,0.0761363500678,0.0933417352775,0.0754921171917
2000-02-04,0.204345314136,0.230837064164,0.116991963545,0.076972149455,0.0925094334334,0.0746443637256
2000-02-07,0.212264765989,0.231530308038,0.117092144267,0.076961150333,0.0904345981645,0.0737966101492
2000-02-08,0.204434084302,0.229842941089,0.117253736814,0.0789056243873,0.0900164739844,0.0729488565728
2000-02-09,0.212805971459,0.232554625426,0.120708659398,0.0817593470617,0.0891841720322,0.0721011029964
2000-02-10,0.22052281699,0.23775023732,0.124969835011,0.0846964877945,0.086280981327,0.0712533495303
2000-02-11,0.237631510481,0.239492237477,0.129128464462,0.0898000108205,0.086069946033,0.0704055959539
2000-02-14,0.23544848967,0.239597907339,0.132233626628,0.093884992865,0.0871014440558,0.0695578423775
2000-02-15,0.228647493114,0.239172085866,0.134948306453,0.0983167834767,0.0877187644145,0.0687100889114
2000-02-16,0.228143221198,0.23916500599,0.135582642973,0.0996232480834,0.08647228469,0.067862335335
2000-02-17,0.224285391151,0.237518692062,0.134414416966,0.0993518923719,0.0854328938516,0.0670145817586
2000-02-18,0.221640083192,0.23530555028,0.135050347282,0.101453140983,0.0866714808687,0.0661668282925
2000-02-22,0.216665334659,0.231600840756,0.1372823641,0.107016076415,0.0899809566387,0.0653190747161
