Date,realCorr_0.05,realCorr_0.1,realCorr_0.15,realCorr_0.2
2000-01-03,0.116021329831,0.039400657081,0.039400657081,0.039400657081
2000-01-04,0.138673232995,0.0625429555212,0.0625429555212,0.0625429555212
2000-01-05,0.133606394357,0.057503698284,0.057503698284,0.057503698284
2000-01-06,0.127887350222,0.0518013458143,0.0518013458143,0.0518013458143
2000-01-07,0.0950202441403,0.0184976460128,0.0184976460128,0.0184976460128
2000-01-10,0.0947634210433,0.0183487161151,0.0183487161151,0.0183487161151
2000-01-11,0.10102866107,0.0248307468308,0.0248307468308,0.0248307468308
2000-01-12,0.103625237046,0.0275828585838,0.0275828585838,0.0275828585838
2000-01-13,0.0942375288366,0.0181505871428,0.0181505871428,0.0181505871428
2000-01-14,0.0773494737161,0.00109273710567,0.00109273710567,0.00109273710567
2000-01-18,0.0921749027623,0.0162778844675,0.0162778844675,0.0162778844675
2000-01-19,0.093793162317,0.0180353450744,0.0180353450744,0.0180353450744
2000-01-20,0.0938624501211,0.0182179710817,0.0182179710817,0.0182179710817
2000-01-21,0.0861052638075,0.0104434460105,0.0104434460105,0.0104434460105
2000-01-24,0.11242581474,0.0373156468446,0.0373156468446,0.0373156468446
2000-01-25,0.103690320181,0.0285464789248,0.0285464789248,0.0285464789248
2000-01-26,0.103596556611,0.0285633311239,0.0285633311239,0.0285633311239
2000-01-27,0.107579069268,0.0327245202458,0.0327245202458,0.0327245202458
2000-01-28,0.128600434208,0.0542090557302,0.0542090557302,0.0542090557302
2000-01-31,0.12417412194,0.0482147092252,0.0482147092252,0.0482147092252
2000-02-01,0.0468437295607,0.0468437295607,0.0468437295607,0.0436142377698
2000-02-02,0.0441075134522,0.0441075134522,0.0441075134522,0.0409945881942
2000-02-03,0.0350664533478,0.0350664533478,0.0350664533478,0.0323412015982
2000-02-04,0.0311986081162,0.0311986081162,0.0311986081162,0.0286385827156
2000-02-07,0.0412337262926,0.0412337262926,0.0412337262926,0.038241102717
2000-02-08,0.0287169233132,0.0287169233132,0.0287169233132,0.0262614294639
2000-02-09,0.0419852906756,0.0419852906756,0.0419852906756,0.0389581696113
2000-02-10,0.0432906360587,0.0432906360587,0.0432906360587,0.040206295227
2000-02-11,0.0541340665316,0.0541340665316,0.0541340665316,0.0505823702648
2000-02-14,0.0537419479999,0.0537419479999,0.0537419479999,0.0502060225596
2000-02-15,0.0418718110328,0.0418718110328,0.0418718110328,0.0388452088155
2000-02-16,0.0465720680522,0.0465720680522,0.0465720680522,0.0433422655758
2000-02-17,0.0437550207141,0.0437550207141,0.0437550207141,0.0406452604965
2000-02-18,0.0665614731844,0.0665614731844,0.0665614731844,0.0624699500836
2000-02-22,0.0653610585224,0.0653610585224,0.0653610585224,0.0613200628129
2000-02-23,0.0493685045848,0.0493685045848,0.0493685045848,0.0460140951672
2000-02-24,0.0532604493167,0.0532604493167,0.0532604493167,0.0497375968997
2000-02-25,0.0598198407843,0.0598198407843,0.0598198407843,0.0560138457151
2000-02-28,0.0555478232293,0.0555478232293,0.0555478232293,0.0519244338346
2000-02-29,0.0577480667006,0.0577480667006,0.0577480667006,0.051837985025
2000-03-01,0.0799423872662,0.0278763401978,0.0278763401978,0.0272881669905
2000-03-02,0.0750040272396,0.0232259258168,0.0232259258168,0.0226866774775
2000-03-03,0.0595525515608,0.00851090728617,0.00851090728617,0.00812797854032
2000-03-06,0.0783721855953,0.0266049212381,0.0266049212381,0.0260282221086
2000-03-07,0.101496385843,0.048819859615,0.048819859615,0.0480054176273
2000-03-08,0.097303058038,0.044882692823,0.044882692823,0.0441095649689
2000-03-09,0.0838383046158,0.0320696388122,0.0320696388122,0.03143253557
2000-03-10,0.0756715157772,0.0243285271448,0.0243285271448,0.0237733281686
2000-03-13,0.0888620717178,0.037033611258,0.037033611258,0.0363421446703
2000-03-14,0.101638725485,0.0493424511203,0.0493424511203,0.04851894506
2000-03-15,0.0843660801658,0.0328839578551,0.0328839578551,0.032235375199
2000-03-16,0.0712324567568,0.0203879071685,0.0203879071685,0.0198719665286
2000-03-17,0.0843402405372,0.033013750355,0.033013750355,0.0323623876468
2000-03-20,0.0890871752425,0.0376354357651,0.0376354357651,0.0369340596461
2000-03-21,0.0785197619739,0.027596115327,0.027596115327,0.0270011665945
2000-03-22,0.0766442698829,0.0258779005292,0.0258779005292,0.0253005885221
2000-03-23,0.082881269032,0.0319260811174,0.0319260811174,0.0312835342307
2000-03-24,0.091436112155,0.0401932216176,0.0401932216176,0.0394617623586
2000-03-27,0.101398247562,0.0498076163693,0.0498076163693,0.0489728688123
2000-03-28,0.10399290743,0.0523688474883,0.0523688474883,0.0515060726731
2000-03-29,0.0975644912373,0.0462919458541,0.0462919458541,0.0454933172911
2000-03-30,0.108768308383,0.0570950496047,0.0570950496047,0.056180448581
2000-03-31,0.0770992381259,0.0298928561233,0.0298928561233,0.0287514832234
2000-04-03,0.0735800003299,0.0238751052772,0.0238751052772,0.024987787725
2000-04-04,0.0987951011842,0.0477917961042,0.0477917961042,0.0492951778878
2000-04-05,0.107018193459,0.0577431300465,0.0577431300465,0.0594102005722
2000-04-06,0.0967408281472,0.0479102271594,0.0479102271594,0.0494193883909
2000-04-07,0.0742246732398,0.0264395255679,0.0264395255679,0.0276016019896
2000-04-10,0.087282592693,0.0387960184879,0.0387960184879,0.0401608801511
2000-04-11,0.0975663801943,0.0485146043773,0.0485146043773,0.050039371401
2000-04-12,0.116295911272,0.0618796980868,0.0618796980868,0.0636236454263
2000-04-13,0.122031443865,0.0650811210433,0.0650811210433,0.0668790355251
