Date,corr_0.05,corr_0.1,corr_0.15,corr_0.2,corr_0.25
2000-01-03,0.110792984408,0.0389521515004,0.0508810581624,0.0392303210242,0.0177388247555
2000-01-04,0.143400979782,0.0673313948694,0.0727757287747,0.0623735745413,0.0177388247555
2000-01-05,0.137687992079,0.0641974860976,0.0682617482622,0.0573340625091,0.0177388247555
2000-01-06,0.131004864735,0.0581550511028,0.0616896469749,0.0516314267768,0.0177388247555
2000-01-07,0.096865902581,0.0264183640726,0.0313092643711,0.0183262587498,0.0177388247555
2000-01-10,0.0932529773788,0.0216876439961,0.0309270640346,0.0181772840054,0.0177388247555
2000-01-11,0.0994323740755,0.0245887126113,0.0358425661954,0.0246595545504,0.0177388247555
2000-01-12,0.104366982727,0.0269472874494,0.0374561946726,0.0274117460022,0.0177388247555
2000-01-13,0.0920094622882,0.013179582763,0.0281489660556,0.0179790311682,0.0177388247555
2000-01-14,0.0739331306117,-0.0116279056703,0.0103068453322,0.000920410361719,0.0177388247555
2000-01-18,0.0892140237499,0.00279511340065,0.0243173357185,0.0161061711893,0.0177388247555
2000-01-19,0.0907506905989,0.0056852502085,0.0262620393741,0.0178636687935,0.0177388247555
2000-01-20,0.0935415919873,0.00878406812905,0.0253137666874,0.0180462641881,0.0177388247555
2000-01-21,0.0925773808967,0.00719116819726,0.0172968672372,0.0102713668932,0.0177388247555
2000-01-24,0.121855320379,0.0374916105195,0.0434550613277,0.037144682934,0.0177388247555
2000-01-25,0.112756654982,0.027639946442,0.034600702828,0.028375100089,0.0177388247555
2000-01-26,0.113384593315,0.0283557068157,0.0348085953772,0.0283919145586,0.0177388247555
2000-01-27,0.11718174576,0.034193902414,0.0392178688787,0.0325532438731,0.0177388247555
2000-01-28,0.137495331099,0.0544157067467,0.0595037447898,0.0540386632644,0.0177388247555
2000-01-31,0.140608552712,0.0485528486368,0.0532871130796,0.0469028155364,0.0177388247555
2000-02-01,0.0412132167724,0.0412132167724,0.056277727009,0.0467334898566,0.0504443141153
2000-02-02,0.0382271133251,0.0382271133251,0.0541211622091,0.0440202632163,0.0504443141153
2000-02-03,0.0232893240283,0.0232893240283,0.0452585937197,0.0350546277006,0.0504443141153
2000-02-04,0.0141712545525,0.0141712545525,0.0403315819222,0.0312191832897,0.0504443141153
2000-02-07,0.0252600920527,0.0252600920527,0.0510486886981,0.0411710763392,0.0504443141153
2000-02-08,0.0150402686474,0.0150402686474,0.0397162624758,0.0287586044522,0.0504443141153
2000-02-09,0.0264837887839,0.0264837887839,0.0514090698092,0.0419168569168,0.0504443141153
2000-02-10,0.0264546784258,0.0264546784258,0.0520847228865,0.0432115795542,0.0504443141153
2000-02-11,0.043671697862,0.043671697862,0.0621067185482,0.0539650624574,0.0504443141153
2000-02-14,0.0403714401508,0.0403714401508,0.0614924632113,0.0535764383772,0.0504443141153
2000-02-15,0.0270734766541,0.0270734766541,0.0500902555969,0.0418052544139,0.0504443141153
2000-02-16,0.0348496263331,0.0348496263331,0.0540014042594,0.0464666544284,0.0504443141153
2000-02-17,0.0349148718489,0.0349148718489,0.0514360734529,0.0436732688027,0.0504443141153
2000-02-18,0.0577181269139,0.0577181269139,0.0737292737512,0.0662902815507,0.0504443141153
2000-02-22,0.0575739624326,0.0575739624326,0.0721839161839,0.0651000836485,0.0504443141153
2000-02-23,0.0440224793601,0.0440224793601,0.0563402933835,0.0492407673743,0.0504443141153
2000-02-24,0.0482614038398,0.0482614038398,0.0588157511021,0.0531005775439,0.0504443141153
2000-02-25,0.0577688667305,0.0577688667305,0.0650564313413,0.0596056502538,0.0504443141153
2000-02-28,0.0505991437455,0.0505991437455,0.061813318177,0.0553693948754,0.0504443141153
2000-02-29,0.0601043041267,0.0601043041267,0.0600788627021,0.0520264138642,0.0504443141153
2000-03-01,0.0784230424077,0.0249100528241,0.0270037785844,0.0279156709414,0.048927075853
2000-03-02,0.0721909124846,0.0183970957879,0.0211633755679,0.0232722561799,0.048927075853
2000-03-03,0.0551899268248,0.00326972098585,0.00677775175099,0.00857929415896,0.048927075853
2000-03-06,0.0722313247293,0.0164347491824,0.0209723283347,0.0266462815177,0.048927075853
2000-03-07,0.0975729468792,0.0344967829492,0.0373708955045,0.0488280282993,0.048927075853
2000-03-08,0.093143696789,0.0368061162587,0.0397886708627,0.0448967940912,0.048927075853
2000-03-09,0.0779200078415,0.0236810193079,0.0277013911817,0.0321029512054,0.048927075853
2000-03-10,0.0693045169216,0.0154805625873,0.0199247459705,0.024373462915,0.048927075853
2000-03-13,0.0867721216745,0.032211582485,0.0341747762457,0.0370595824038,0.048927075853
2000-03-14,0.106090360685,0.0495313179546,0.0466901896917,0.0493500504328,0.048927075853
2000-03-15,0.0873870886051,0.0351299157548,0.0329976599925,0.0329162219575,0.048927075853
2000-03-16,0.0638866032699,0.0130460744431,0.0168024868377,0.0204389081512,0.048927075853
2000-03-17,0.0744509822861,0.0230196388719,0.0281744886286,0.0330459052597,0.048927075853
2000-03-20,0.0791437036753,0.031297349447,0.0365031475576,0.0376607190047,0.048927075853
2000-03-21,0.0703473087341,0.0263693284876,0.0308551793224,0.0276364601193,0.048927075853
2000-03-22,0.0690009263249,0.0270422989064,0.0313335782265,0.0259208582998,0.048927075853
2000-03-23,0.0743012574292,0.0337566122258,0.0383410645829,0.0319600331517,0.048927075853
2000-03-24,0.0819558476404,0.0401392467491,0.0451912949918,0.0402148482982,0.048927075853
2000-03-27,0.0919562059873,0.0499136897417,0.0553258717974,0.0498149021712,0.048927075853
